id,gtfs_id,stop_id
568,ORLEANS:StopArea:TRIOBE1,557
569,ORLEANS:StopArea:01003507,558
570,ORLEANS:StopArea:01003503,558
571,ORLEANS:StopArea:TRIOBE2,559
572,ORLEANS:StopArea:01003504,560
573,ORLEANS:StopArea:00019141,561
574,ORLEANS:StopArea:00019140,562
575,ORLEANS:StopArea:01036204,563
576,ORLEANS:StopArea:01036203,564
577,ORLEANS:StopArea:00019301,565
578,ORLEANS:StopArea:00019303,566
579,ORLEANS:StopArea:THALMA1,567
580,ORLEANS:StopArea:THALMA2,568
581,ORLEANS:StopArea:00024300,569
582,ORLEANS:StopArea:00024301,570
583,ORLEANS:StopArea:00045401,571
584,ORLEANS:StopArea:00019501,572
585,ORLEANS:StopArea:00019500,573
586,ORLEANS:StopArea:00019701,574
587,ORLEANS:StopArea:00019700,575
588,ORLEANS:StopArea:01009502,576
589,ORLEANS:StopArea:01009501,577
590,ORLEANS:StopArea:00028751,578
591,ORLEANS:StopArea:00028752,579
592,ORLEANS:StopArea:00019801,580
593,ORLEANS:StopArea:00019800,581
594,ORLEANS:StopArea:00055000,582
595,ORLEANS:StopArea:00055001,583
596,ORLEANS:StopArea:00055550,584
597,ORLEANS:StopArea:00055551,585
598,ORLEANS:StopArea:00020001,586
599,ORLEANS:StopArea:00020000,587
600,ORLEANS:StopArea:00020300,588
601,ORLEANS:StopArea:01047902,589
602,ORLEANS:StopArea:00020420,590
603,ORLEANS:StopArea:00020421,591
604,ORLEANS:StopArea:00020501,592
605,ORLEANS:StopArea:00020500,593
606,ORLEANS:StopArea:THOPIT1,594
607,ORLEANS:StopArea:THOPIT2,594
608,ORLEANS:StopArea:00020905,595
609,ORLEANS:StopArea:00020904,596
610,ORLEANS:StopArea:00020901,597
611,ORLEANS:StopArea:00020900,598
612,ORLEANS:StopArea:00020430,599
613,ORLEANS:StopArea:00020431,600
614,ORLEANS:StopArea:00020521,601
615,ORLEANS:StopArea:00020520,602
616,ORLEANS:StopArea:01068905,603
617,ORLEANS:StopArea:01068906,604
618,ORLEANS:StopArea:01068907,605
619,ORLEANS:StopArea:01068901,605
620,ORLEANS:StopArea:THOPAC1,606
621,ORLEANS:StopArea:THOPAC2,607
622,ORLEANS:StopArea:01068902,608
623,ORLEANS:StopArea:01069001,609
